gene_name	num_isoforms
sds	6
sectm1	8
sema4d	24
sema7a	4
serpinb9	2
serping1	22
sertad1	1
setx	5
sh2d3c	13
shisa5	19
shox2	5
siglec1	3
sla-11	NA
sla-7	NA
slamf8	4
slamf9	4
slc12a7	6
slc13a3	11
slc15a3	14
slc18b1	7
slc24a1	12
slc25a28	10
slc25a28	10
slc25a30	8
slc25a37	12
slc26a4	8
slc26a4-as1	20
slc2a12	1
slc2a6	5
slc37a1	9
slc4a9	6
slc6a12	17
slc6a4	6
slc6a9	12
slco5a1	8
slfn11	14
slfn12l	5
slfn13	11
slfn2	NA
slfn3	NA
slfn5	3
slitrk2	2
smagp	8
smchd1	27
snora70	27
sntb1	6
snx10	27
socs1	2
socs1	2
sox9	1
sp100	19
sp110	21
sp110	21
sp140	14
sp140l	10
spats2l	27
spsb1	4
spsb4	4
sptbn5	2
sptlc3	6
ssat-1	NA
sstr2	2
stard8	5
stat1	41
stat1	41
stat2	42
stat2	42
stat4	16
steap3	4
steap4	3
stoml1	13
stradb	10
stx11	4
sult1c4	3
svil	16
sytl2	29
tacstd2	1
taf3	8
taf4b	3
tagap	5
tanc2	11
tap1	11
tap1	11
tap2	9
tap2	9
tapbp	26
tapbp	26
tapbpl	8
tapbpl	8
tbx1	8
tbx20	2
tbx21	2
tcaf2	8
tcea3	6
tceanc2	5
tcf15	1
tcf7l2	31
tcirg1	22
tdrd7	2
tdrd7	2
tec	5
tesk2	4
tex14	6
tex29	2
tgm1	9
tgm2	6
them4	5
them6	3
themis2	11
thsd1	3
ticam2	2
tifa	3
tigar	4
tle4	29
tlr2	14
tlr3	9
tlr3	9
tlr4	4
tm4sf1	4
tm6sf2	5
tmcc3	4
tmem100	6
tmem106a	8
tmem110	NA
tmem140	2
tmem168	7
tmem171	2
tmem173	NA
tmem229b	7
tmem243	8
tmem50a	6
tmem55a	NA
tmem62	15
tmem74b	3
tmp-ch242-74m17.4	NA
tmp-sla-2	NA
tmp-sla-3	NA
tmp-sla-5	NA
tnf	2
tnfaip3	9
tnfaip6	2
tnfaip8	7
tnfrsf14	16
tnfrsf1b	4
tnfrsf9	4
tnfsf10	6
